id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
88846,Male,24,1,2,0,< 1 Year,Yes,50673.0,152.0,61,0
22256,Female,24,1,5,1,< 1 Year,No,48532.0,152.0,96,0
58537,Male,31,1,3,1,< 1 Year,No,101025.0,152.0,74,0
116897,Male,23,1,3,0,< 1 Year,Yes,2630.0,160.0,264,0
172692,Female,41,1,3,0,1-2 Year,Yes,31655.0,26.0,211,0
276497,Female,31,1,4,1,< 1 Year,No,36184.0,152.0,183,0
270247,Female,44,1,3,0,1-2 Year,Yes,45232.0,26.0,193,1
96831,Female,24,1,5,0,< 1 Year,Yes,54202.0,152.0,111,0
324804,Female,40,1,1,0,1-2 Year,Yes,2630.0,124.0,117,0
59460,Female,70,1,5,0,1-2 Year,Yes,2630.0,124.0,126,0
78790,Male,26,1,1,0,< 1 Year,Yes,27562.0,152.0,226,0
335065,Female,26,1,1,0,1-2 Year,Yes,2630.0,163.0,57,0
304149,Female,42,1,3,0,1-2 Year,Yes,23407.0,124.0,269,0
114879,Female,21,1,3,0,< 1 Year,No,30091.0,152.0,47,0
117836,Male,22,1,3,0,< 1 Year,Yes,29962.0,154.0,227,1
72248,Female,51,1,3,0,1-2 Year,Yes,2630.0,26.0,256,0
324949,Female,67,1,3,0,1-2 Year,Yes,88989.0,122.0,219,0
61966,Male,28,1,3,1,< 1 Year,No,2630.0,152.0,14,0
12266,Male,38,1,1,0,1-2 Year,Yes,2630.0,156.0,296,1
70608,Female,21,1,3,1,< 1 Year,No,37309.0,160.0,27,0
350556,Female,36,1,3,0,> 2 Years,Yes,64823.0,124.0,219,1
96952,Female,48,1,3,1,1-2 Year,No,39749.0,26.0,279,0
276911,Male,22,1,4,0,< 1 Year,Yes,34229.0,152.0,185,0
59105,Male,52,1,4,1,1-2 Year,No,33236.0,124.0,33,0
1805,Female,23,1,2,0,< 1 Year,Yes,30348.0,152.0,23,0
83906,Female,23,1,5,0,< 1 Year,Yes,2630.0,157.0,283,0
